ID,Date,Date - Clean,ConvoID,Content,Sender,Participants,Group,ParticipantsClean,
419,2022-04-17 15:18:35 ( CDT ),44668.63791,6,"Liked "" Elon , I am just checking in to reiterate that the board is seriously reviewing the
proposal in your letter . We are working on a formal response as quickly as we can consistent
with our fiduciary duties . Feel free to reach out anytime . """,Self,"Bret Taylor, Self",No,Bret Taylor,
456,2022-04-23 15:45:06 ( CDT ),44674.65632,6,Would it be possible for you and me to talk this weekend ?,Self,"Bret Taylor, Self",No,Bret Taylor,)
457,2022-04-23 15:48:30 ( CDT ),44674.65868,6,Or any group of people from the Twitter and my side,Self,"Bret Taylor, Self",No,Bret Taylor,)
458,2022-04-23 17:30:41 ( CDT ),44674.72964,6,"Yes , that would be great . I would suggest me and Sam Britton from Goldman on our side . Do
you have time this afternoon / evening ?",Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
461,2022-04-23 18:13:16 ( CDT ),44674.75921,6,Sounds good,Self,"Bret Taylor, Self",No,Bret Taylor,
462,2022-04-23 18:13:41 ( CDT ),44674.7595,6,Whatever time works for you and Sam is good for me,Self,"Bret Taylor, Self",No,Bret Taylor,
463,2022-04-23 18:15:49 ( CDT ),44674.76098,6,Can we call you in 15 mins ? 4:30 pm PT ( not sure what time zone you are in ),Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
464,2022-04-23 18:18:11 ( CDT ),44674.76263,6,"I can just call your mobile . Let me know if you prefer Zoom , conference call code , or
something different",Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
465,2022-04-23 18:23:43 ( CDT ),44674.76647,6,Sure,Self,"Bret Taylor, Self",No,Bret Taylor,
466,2022-04-23 18:23:48 ( CDT ),44674.76653,6,Mobile is fine,Self,"Bret Taylor, Self",No,Bret Taylor,
467,2022-04-23 18:25:11 ( CDT ),44674.76749,6,"Liked "" Mobile is fine """,Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
498,2022-04-24 13:27:37 ( CDT ),44675.56084,6,Just tried calling - please call whenever you are available,Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
499,2022-04-24 14:56:04 ( CDT ),44675.62227,6,Calling shortly,Self,"Bret Taylor, Self",No,Bret Taylor,
500,2022-04-24 14:58:59 ( CDT ),44675.62429,6,Great thanks,Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
501,2022-04-24 15:00:39 ( CDT ),44675.62545,6,Morgan Stanley needs to talk to me . I will call as soon as that's done .,Self,"Bret Taylor, Self",No,Bret Taylor,
502,2022-04-24 15:01:32 ( CDT ),44675.62606,6,No problem - here when you are ready,Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
503,2022-04-24 15:01:40 ( CDT ),44675.62616,6,"Liked "" No problem - here when you are ready """,Self,"Bret Taylor, Self",No,Bret Taylor,
504,2022-04-24 18:21:06 ( CDT ),44675.76465,6,"I understand our advisors just had a productive call . I am available to speak after you've
debriefed with them .",Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
505,2022-04-24 18:25:20 ( CDT ),44675.76759,6,Sounds good,Self,"Bret Taylor, Self",No,Bret Taylor,
515,2022-04-25 01:22:28 ( CDT ),44676.05727,6,Time for a quick check in ?,Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
516,2022-04-25 08:05:12 ( CDT ),44676.33694,6,Will call you back,Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
517,2022-04-25 08:05:15 ( CDT ),44676.33698,6,In a bit,Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
518,2022-04-25 08:05:18 ( CDT ),44676.33701,6,Ok,Self,"Bret Taylor, Self",No,Bret Taylor,
524,2022-04-25 13:56:43 ( CDT ),44676.58105,6,"https://twitter.com/btaylor/status/1518664708177362944?s=10&t=9WgIC5ZVMQdycPc314T
2Lw",Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
525,2022-04-25 13:56:56 ( CDT ),44676.5812,6,"Loved
2Lw ""
"" https://twitter.com/btaylor/status/1518664708177362944?s=10&t=9WqIC5ZVMQdycPc314T",Self,"Bret Taylor, Self",No,Bret Taylor,
526,2022-04-25 13:57:01 ( CDT ),44676.58126,6,Thank you,Self,"Bret Taylor, Self",No,Bret Taylor,
528,2022-04-25 13:57:23 ( CDT ),44676.58152,6,Here to make this successful in any way I can,Bret Taylor,"Bret Taylor, Self",No,Bret Taylor,
530,2022-04-25 13:57:54 ( CDT ),44676.58188,6,"Liked "" Here to make this successful in any way I can """,Self,"Bret Taylor, Self",No,Bret Taylor,
626,2022-04-28 12:11:45 ( CDT ),44679.50816,6,"I'd like to convey some critical elements of the transition plan . Is there a good time for us to
talk tonight ? Happy to have anyone from Twitter on the call .",Self,"Bret Taylor, Self",No,Bret Taylor,
628,2022-04-28 12:12:58 ( CDT ),44679.509,6,"My biggest concern is headcount and expense growth . Twitter has "" 3X the head count per
unit of revenue of other social media companies , which is very unhealthy in my view .",Self,"Bret Taylor, Self",No,Bret Taylor,
